name_en,name_fr,acronym_en,acronym_fr,url_en,url_fr,date_added,user_submitted
Administrative Tribunals Support Service of Canada,Service canadien d’appui aux tribunaux administratifs,atssc,scdata,https://www.canada.ca/en/administrative-tribunals-support-service.html,https://www.canada.ca/fr/service-canadien-appui-tribunaux-administratifs.html,2019-05-07,1
Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,agr,agr,http://www.agr.gc.ca/index_e.php,http://www.agr.gc.ca/index_f.php,2018-08-07,0
Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,acoa,apeca,http://www.acoa-apeca.gc.ca/Eng/Pages/Home.aspx,http://www.acoa-apeca.gc.ca/fra/Pages/Accueil.aspx,2018-08-07,0
Canada Border Services Agency,Agence des services frontaliers du Canada,cbsa,asfc,http://www.cbsa-asfc.gc.ca/menu-eng.html,http://www.cbsa-asfc.gc.ca/menu-fra.html,2018-08-07,0
Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,dec,ced,http://www.dec-ced.gc.ca/eng/index.html,http://www.dec-ced.gc.ca/fra/index.html,2018-08-07,0
Canada Revenue Agency,Agence du revenu du Canada,cra,arc,http://www.cra-arc.gc.ca/menu-eng.html,http://www.cra-arc.gc.ca/menu-fra.html,2018-08-07,0
Canada School of Public Service,École de la fonction publique du Canada,csps,efpc,http://www.csps-efpc.gc.ca/,http://www.csps-efpc.gc.ca/index-fra.aspx,2018-08-07,0
Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,cfia,acia,http://www.inspection.gc.ca/eng/1297964599443/1297965645317,http://www.inspection.gc.ca/fra/1297964599443/1297965645317,2018-08-07,0
Canadian Heritage,Patrimoine canadien,pch,pch,http://www.pch.gc.ca/eng/1266037002102/1265993639778,http://www.pch.gc.ca/fra/1266037002102/1265993639778,2018-08-07,0
Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,cannor,cannor,http://www.north.gc.ca/index-eng.asp,http://www.cannor.gc.ca/fra/1351104567432/1351104589057,2018-08-07,0
Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,cnsc,ccsn,http://nuclearsafety.gc.ca/eng/,http://nuclearsafety.gc.ca/fra/,2018-08-07,0
Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,crtc,crtc,https://crtc.gc.ca/eng/home-accueil.htm,https://crtc.gc.ca/fra/accueil-home.htm,2019-05-07,1
